Date,Open,High,Low,Close,Adj Close,Volume
2019-09-23,166.479996,168.880005,165.910004,167.619995,146.989777,446300
2019-09-24,168.610001,168.610001,164.169998,164.740005,144.464233,357100
2019-09-25,165.250000,166.009995,163.740005,164.839996,144.551941,340500
2019-09-26,165.300003,165.389999,162.630005,164.570007,144.315155,361700
2019-09-27,165.660004,165.949997,159.600006,160.809998,141.017960,428800
2019-09-30,161.410004,163.199997,161.250000,162.649994,142.631454,361700
2019-10-01,162.509995,163.529999,159.009995,160.050003,140.351456,391300
2019-10-02,159.360001,159.360001,156.910004,158.929993,139.369324,345600
2019-10-03,159.339996,160.380005,158.259995,159.360001,139.746429,230300
2019-10-04,159.270004,161.509995,159.160004,161.360001,141.500229,239300
2019-10-07,161.360001,162.270004,160.559998,161.559998,141.675629,230200
2019-10-08,161.380005,161.619995,159.839996,160.139999,140.430420,200500
2019-10-09,160.759995,160.759995,159.059998,159.479996,139.851608,217000
2019-10-10,159.500000,160.279999,158.199997,158.630005,139.106247,197500
2019-10-11,160.160004,161.460007,158.580002,158.809998,139.264084,305300
2019-10-14,159.490005,159.490005,154.910004,155.100006,136.010712,440800
2019-10-15,155.750000,156.320007,154.009995,154.360001,135.361786,446400
2019-10-16,154.979996,156.190002,153.669998,156.070007,136.861313,355700
2019-10-17,155.460007,155.710007,154.500000,154.839996,136.923218,255600
2019-10-18,154.479996,159.009995,154.169998,158.669998,140.310043,366500
2019-10-21,159.929993,162.190002,159.500000,160.070007,141.548050,387500
2019-10-22,159.630005,161.720001,158.529999,161.470001,142.786057,369300
2019-10-23,161.470001,163.119995,160.990005,162.169998,143.405029,341700
2019-10-24,162.850006,162.850006,160.630005,161.020004,142.388107,186200
2019-10-25,161.250000,161.919998,160.630005,161.360001,142.688797,230200
2019-10-28,161.910004,162.690002,157.270004,157.619995,139.381546,375400
2019-10-29,158.580002,159.029999,157.250000,157.649994,139.408066,225700
2019-10-30,157.750000,157.750000,154.570007,156.479996,138.373444,258500
2019-10-31,156.919998,157.630005,154.860001,155.500000,137.506836,341500
2019-11-01,156.470001,157.279999,155.429993,155.929993,137.887085,277100
2019-11-04,156.179993,159.580002,155.330002,158.690002,140.327728,376600
2019-11-05,158.639999,161.289993,158.419998,161.169998,142.520767,202500
2019-11-06,161.600006,163.080002,160.309998,162.559998,143.749924,271100
2019-11-07,163.330002,163.750000,161.940002,163.580002,144.651901,239000
2019-11-08,163.419998,165.639999,163.419998,165.360001,146.225937,249700
2019-11-11,165.179993,165.710007,162.720001,163.039993,144.174393,227000
2019-11-12,163.320007,163.320007,159.869995,160.550003,141.972534,254400
2019-11-13,160.309998,162.960007,160.009995,162.339996,143.555374,209300
2019-11-14,162.059998,162.199997,160.000000,161.160004,142.511917,246500
2019-11-15,161.830002,161.970001,159.570007,160.130005,141.601089,256300
2019-11-18,160.149994,161.160004,159.029999,160.110001,141.583405,197400
2019-11-19,160.460007,161.220001,157.679993,158.520004,140.177399,213000
2019-11-20,158.369995,159.979996,157.630005,158.940002,140.548798,321400
2019-11-21,159.990005,160.000000,155.509995,155.600006,137.595276,420800
2019-11-22,156.710007,157.309998,153.919998,154.949997,137.020462,525500
2019-11-25,155.100006,158.740005,154.960007,157.500000,139.275421,767800
2019-11-26,154.000000,156.500000,150.880005,151.130005,133.642517,1062800
